Sample_ID,MSE,PSNR,SSIM,Porosity_Error
0,0.0003646548,34.381178896610585,0.9178873697506295,0.15806232
1,0.00032123213,34.931806574439015,0.9714665756423034,0.0124097755
2,0.0003356526,34.74110177230939,0.9637767272777901,0.24910358
3,0.00025200765,35.98586414114398,0.9696932236814728,0.45277748
4,0.00027248706,35.64654613480158,0.9655709364302864,0.39940003
5,0.00018538431,37.319267629635554,0.9582434332346306,0.19590762
6,0.00018286488,37.37868949405284,0.9517468059016838,0.38684013
7,0.0003730871,34.28189665646955,0.9663261229686317,0.07571538
8,0.00043888434,33.57650071187376,0.9524466317296563,0.16285618
9,0.00027377892,35.626002851468705,0.9688059503383903,0.18931274
10,0.00025493623,35.93568444255022,0.9612687893098869,0.30977464
11,0.00021021072,36.773453749584775,0.9432045187230416,0.546195
12,0.00025681045,35.903873422102805,0.9419424081151886,0.1229219
13,0.00021322958,36.71152346408168,0.9611708963622055,0.47210836
14,0.00019579592,37.08196365310181,0.9685379001222229,0.44431788
15,0.00022530043,36.472377972031566,0.9713183070247307,0.28003716
16,0.00026545874,35.76002628565388,0.9640321516712684,0.22440003
17,0.00031610776,35.00165109492921,0.9587596653280983,0.26502815
18,0.00018973376,37.218553044173895,0.9468884525577164,0.46283627
19,0.00027717432,35.57246969294352,0.9515060675184899,0.28993046
